sentence	sentiment
It also increases carbon dioxide emissions which are driving climate change.	neutral
We can already see this happening.	negative
The ecological disaster is a consequence of not only natural factors but also human activities  but at least this is one reason there is still hope we can reverse the problem.	positive
We may be dealing with an issue with a level of complexity that human beings are simply not capable of addressing.	negative
Preventable chronic diseases are Australias leading cause of ill health and conditions such as coronary heart disease stroke	negative
In this harsh alpine zone where shade is scarce species such as the houseleek have evolved to withstand the punishing ultraviolet radiation by being able to quickly repair their DNA.	positive
Indeed while most of us are happy with most of the products of science  not least our iPods white goods and light bulbs  when it comes to some of the more contentious issues of science were not such a happy bunch.	negative
The petrochemical plant is surrounded by wetlands which are home to a large number of rodents the preferred prey of servals.	neutral
Compulsive consumerism ¦ leads people to believe that they are free as long as they have the supposed freedom to consume.	negative
One option is to expand efficiency programs to include a wider range of products.	positive
Any impact on the underground aquifers that feed into the Great Artesian Basin would not only be devastating for the environment but also for all the communities that rely on its water resources.	negative
She said:Our familys financial problems came with the riverbank erosion.	negative
Read more:      Prepare for hotter days says the State of the Climate 2020 report for AustraliaAll of Australias World Heritage properties are recognised as having œhighly effective or œmostly effective protection and management activities.	negative
Kasich pledges to increase oil and gas production on federal lands approve the Keystone XL pipeline scrap the Clean Power Plan to limit carbon emissions from power plants and end an existing ban on U.S. oil exports.	neutral
We cannot expect the worst polluting countries to tackle climate change successfully.	negative
Using a longer record of warming is much better for estimating the rate because its less sensitive to year-to-year variations than a shorter record.	positive
They include consumer expectations of cheap food export-oriented trade and most importantly	neutral
However the substantial and widespread reduction of regrowth indicates the magnitude of the disturbance caused by recent heatwaves.	negative
Then there was a period of modest progress.	positive
Our research has identified one major driver affecting one disease.	positive
Middle class beneficiaries of current policies (for example in the Middle East) may or may not be compensated but sound economic development would be unambiguously enhanced ” a case of œno regrets mitigation policies.	positive
We cant do this by simply stopping all emissions.	negative
And since it occupies a strategic position in the North Atlantic its meltwater tempers ocean circulation patterns.	negative
This would bring total deforestation to 40 percent.	neutral
In December 2006 the Coal21 initiative announced a A$1 billion fund to investigate CCS paid for from a voluntary levy on coal.2008 marked the peak of elite interest.	positive
When the benefits are dispersed and the costs immediate it is tempting to coast and hope others will pick up the slack.	neutral
In areas where they come into close proximity with livestock roan populations are susceptible to diseases such as anthrax.	negative
These raise new and serious challenges we must contend with.	negative
There are many promising ways to do this such as maintaining plant cover on fields year-round; growing diverse crops that include high-nitrogen legumes and perennials with deep roots; and minimizing tillage.	positive
The Bureau of Meteorology is expecting large amounts of snow to fall across Victoria and New South Wales this weekend with freezing levels dropping to as low as 700m by Sunday.	negative
Other research estimates that agriculture in Sydneys foodbowl contributes around A$1 billion to the regional economy.	positive
Climate change will affect most everyone on the planet to some degree but poor people in developing nations will be affected most severely.	negative
In the immediate wake of last months budget treasurer Joe Hockey moved to reassure mining companies that the A$2 billion diesel rebate would be safe.	positive
